terms,ShortDef,LongDef,DeepDive,Contributors,Tags
Passive Learning,"In contrast to active learning, this term is associated with students being exposed to a predominantly an information transmission approach where they have no agency or investment in their learning.","Students cramming for a test may adopt a superficial approach to learning where the goal or motivation is to regurgitate with the purpose of passing an exam.









","

","Vicki Dale, Steve Draper",
Pedagogy,"“The art and science of teaching, pedagogy is the methods of lesson, course, and program delivery.” (Webb & tierney)","









","

",Katharine Terrell,
Peer Assessment,,"









","

",,
Personalised Learning,,"









","

",,
Problem-Based Learning,,"









","

",,
Qualitative,,"









","

",,
Quantitative,,"









","

",,
Red Brick University,,"









","

",,
Reflective Practice,,"









","

",,
Regression,,"









","

",,
Research-Led Teaching,,"









","

",,
Russell Group,A group of 24 research-intensive uk universities.,"









","

",,
Sample Size,,"









","

",,
Scholarship,,"









","

",,
SoTL,An abbreviation for the phrase scholarship of learning and teaching,"The scholarship of learning and teaching is

“The scholarship of teaching and learning is a rigorous, literature- informed, and peer-reviewed framework for investigating teaching and learning in higher education. It is methodologically flexible and open to many types of inquiries into pedagogical, curricular, disciplinary, and institutional contexts.” (Webb & tierney)







","

",Katharine Terrell,
Student Voice,,"









","

",,
Summative Assessment,,"









","

",,
Sustainable,,"









","

",,
Synchronous,Happening at the same time; live.,"Synchronous learning activities are those where the teacher and learner are interacting in real time. For example, lectures (online or face-to-face) are typically synchronous - the teacher facilitates learning activities “live” and students engage in the activities in that moment. Compare with “asynchronous”.









","

",Katharine Terrell,
Teaching,,"









","

",,
Team Teaching,,"









","

",,
Virtual Reality,,"









","

",,
VLE,Virtual learning environment,"









","

",,
Work-Integrated Learning,"Work-integrated learning (wil) is a term used to describe different teaching strategies that integrate the theory of learning with the practice of work. This can take many forms such as work placements, fieldwork, and external stakeholder/industry supported projects or assessments.","Wil aims to foster better employability since students take part in activities directly related to the workplace. It helps students to put their learning into context and allows them to apply taught theory. Authentic, real-world assessment is the foundation of wil which provides students feedback and experience more applicable to their future career. It is often accredited or supported by external stakeholders and can range from a single course to an entire programme (ball & manwaring, 2010). Wil helps equip students with skills employer’s value.









","

",Susan Lindsay,WIL
Experiential Learning,Experiential learning is when students take part in hands-on activities which help embed skills and understanding. Students typically learn by actively engaging and reflecting upon real-world activities.,"Experiential learning allows students to actively engage with a topic. While hands-on learning is considered part of this, it is important that students also reflect and think critically about their experience. Hands-on activities support deep learning and tend to be an engaging method of learning.









","

",Susan Lindsay,
Parametric,,"









","

",,
Non-Parametric,,"









","

",,
